Year,Month,Week,Disease,Cases,URL,Country
2015,1,,Pertussis,275,https://www.cdctj.com.cn/system/2015/02/12/013081051.shtml,CN
2015,2,,Pertussis,315,https://www.cdctj.com.cn/system/2015/03/12/013081196.shtml,CN
2015,3,,Pertussis,498,https://www.cdctj.com.cn/system/2015/04/14/013081323.shtml,CN
2015,4,,Pertussis,507,https://www.cdctj.com.cn/system/2015/05/25/013081484.shtml,CN
2015,5,,Pertussis,573,https://www.cdctj.com.cn/system/2015/06/15/013081604.shtml,CN
2015,6,,Pertussis,723,https://www.cdctj.com.cn/system/2015/07/17/013081743.shtml,CN
2015,7,,Pertussis,877,https://www.cdctj.com.cn/system/2015/08/13/013081861.shtml,CN
2015,8,,Pertussis,999,https://www.cdctj.com.cn/system/2015/09/22/013082001.shtml,CN
2015,9,,Pertussis,763,https://www.cdctj.com.cn/system/2015/11/03/013082122.shtml,CN
2015,10,,Pertussis,466,https://www.cdctj.com.cn/system/2015/11/11/013082155.shtml,CN
2015,11,,Pertussis,377,https://www.cdctj.com.cn/system/2015/12/11/013082233.shtml,CN
2015,12,,Pertussis,446,https://www.cdctj.com.cn/system/2016/01/12/013082310.shtml,CN
2016,1,,Pertussis,332,https://www.cdctj.com.cn/system/2016/02/04/013082403.shtml,CN
2016,2,,Pertussis,384,https://www.cdctj.com.cn/system/2016/03/17/013082581.shtml,CN
2016,3,,Pertussis,527,https://www.cdctj.com.cn/system/2016/04/14/013082695.shtml,CN
2016,4,,Pertussis,433,https://www.cdctj.com.cn/system/2016/05/12/013082811.shtml,CN
2016,5,,Pertussis,444,https://www.cdctj.com.cn/system/2016/06/16/013082953.shtml,CN
2016,6,,Pertussis,476,https://www.cdctj.com.cn/system/2016/07/14/013083005.shtml,CN
2016,7,,Pertussis,581,https://www.cdctj.com.cn/system/2016/08/12/013083102.shtml,CN
2016,8,,Pertussis,711,https://www.cdctj.com.cn/system/2016/09/18/013083164.shtml,CN
2016,9,,Pertussis,545,https://www.cdctj.com.cn/system/2016/10/13/013083220.shtml,CN
2016,10,,Pertussis,374,https://www.cdctj.com.cn/system/2017/03/22/014002640.shtml,CN
2016,11,,Pertussis,410,https://www.cdctj.com.cn/system/2017/03/22/014002644.shtml,CN
2016,12,,Pertussis,466,https://www.cdctj.com.cn/system/2017/03/22/014002657.shtml,CN
2017,1,,Pertussis,413,https://www.cdctj.com.cn/system/2017/03/22/014002659.shtml,CN
2017,2,,Pertussis,488,https://www.cdctj.com.cn/system/2017/03/22/014002662.shtml,CN
2017,3,,Pertussis,748,https://www.cdctj.com.cn/system/2017/04/18/014003612.shtml,CN
2017,4,,Pertussis,608,https://www.cdctj.com.cn/system/2017/05/15/014004715.shtml,CN
2017,5,,Pertussis,861,https://www.cdctj.com.cn/system/2017/06/13/014005769.shtml,CN
2017,6,,Pertussis,1051,https://www.cdctj.com.cn/system/2017/07/13/014007041.shtml,CN
2017,7,,Pertussis,1224,https://www.cdctj.com.cn/system/2017/08/17/014008874.shtml,CN
2017,8,,Pertussis,1605,https://www.cdctj.com.cn/system/2017/09/15/014010015.shtml,CN
2017,9,,Pertussis,1257,https://www.cdctj.com.cn/system/2017/10/13/014010717.shtml,CN
2017,10,,Pertussis,869,https://www.cdctj.com.cn/system/2017/11/17/014300899.shtml,CN
2017,11,,Pertussis,791,https://www.cdctj.com.cn/system/2017/12/14/014301710.shtml,CN
2017,12,,Pertussis,627,https://www.cdctj.com.cn/system/2018/01/12/014302831.shtml,CN
2018,1,,Pertussis,649,https://www.cdctj.com.cn/system/2018/02/22/014305563.shtml,CN
2018,2,,Pertussis,743,https://www.cdctj.com.cn/system/2018/03/22/014307072.shtml,CN
2018,3,,Pertussis,1602,https://www.cdctj.com.cn/system/2018/04/24/014309030.shtml,CN
2018,4,,Pertussis,1758,http://www.nhc.gov.cn/jkj/s3578/201805/e3e32b477f3b46948af98bce6b89dc0a.shtml,CN
2018,5,,Pertussis,1764,http://www.nhc.gov.cn/jkj/s3578/201806/8e37d0ab57fb43fb8300ac51e44ee7be.shtml,CN
2018,6,,Pertussis,1973,http://www.nhc.gov.cn/jkj/s3578/201807/2e222f8000be4f61b9f4e717af7a25d3.shtml,CN
2018,7,,Pertussis,2850,https://www.cdctj.com.cn/system/2018/08/24/014316473.shtml,CN
2018,8,,Pertussis,4134,https://www.cdctj.com.cn/system/2018/09/14/014318196.shtml,CN
2018,9,,Pertussis,2657,https://www.cdctj.com.cn/system/2018/10/19/014319865.shtml,CN
2018,10,,Pertussis,1572,https://www.cdctj.com.cn/system/2018/11/30/014322609.shtml,CN
2018,11,,Pertussis,1365,http://www.nhc.gov.cn/jkj/s3578/201812/767678cf92774424829163ad981e36ad.shtml,CN
2018,12,,Pertussis,1399,http://www.nhc.gov.cn/jkj/s3578/201901/7ba54ed285484474a881584606aa8c94.shtml,CN
2019,1,,Pertussis,1260,https://www.cdctj.com.cn/system/2019/02/21/014326808.shtml,CN
2019,2,,Pertussis,1444,https://www.cdctj.com.cn/system/2019/03/28/014328451.shtml,CN
2019,3,,Pertussis,2735,https://www.cdctj.com.cn/system/2019/04/26/014329671.shtml,CN
2019,4,,Pertussis,2689,https://www.cdctj.com.cn/system/2019/05/23/014330869.shtml,CN
2019,5,,Pertussis,3129,https://www.cdctj.com.cn/system/2019/06/26/014332831.shtml,CN
2019,6,,Pertussis,3128,https://www.cdctj.com.cn/system/2019/08/02/014334748.shtml,CN
2019,7,,Pertussis,3635,http://www.nhc.gov.cn/jkj/s7929/201908/5e4ff33f01994b9d99adc0b41b1975cc.shtml,CN
2019,8,,Pertussis,4388,https://www.cdctj.com.cn/system/2019/09/27/014338944.shtml,CN
